seeds: 1526764699 296965260 4761337003 238076774 5660730 140525994 3349084238 68056845 1100420738 426343961 903067556 197353182 4047250505 115839195 2696292122 208146521 1823729959 223331897 2358216717 338075405

seed-to-soil map:
2646748467 1176332652 268787982
1176332652 2058582141 280653127
4117164282 294083163 282628183
3528997956 4705330608 281658047
1764498978 882249489 293397814
882249489 4117164282 282175590
2940831630 2352665304 292776428
4411247445 1764498978 280186977
4705330608 2940831630 285072491
3823081119 4411247445 272381593
2058582141 2646748467 284302253
3234914793 3823081119 281347021
2352665304 1470415815 275529721
294083163 588166326 272946219
0 3528997956 268844154
1470415815 3234914793 284610411
588166326 0 279191018

soil-to-fertilizer map:
1428403936 2499706888 330661622
3213908856 357100984 333894910
2499706888 2856807872 329209975
1785504920 4285211808 338844196
4285211808 3928110824 332679563
357100984 1785504920 342136395
3928110824 714201968 347971044
3571009840 3213908856 339282035
2142605904 1428403936 343719891
1071302952 4642312792 336527759
0 2142605904 355255068
2856807872 0 339680616
4642312792 3571009840 327434623
714201968 1071302952 340971576

fertilizer-to-water map:
151497387 3029947740 142446340
3181445127 4090429449 149880041
0 2575455579 149166034
1666471257 908984322 148839142
454492161 4544921610 151202978
2423958192 4241926836 140417933
3029947740 3181445127 138378632
908984322 4847916384 138676584
2120963418 1363476483 138077163
1211979096 4696418997 139604372
2726952966 2272460805 138743783
4696418997 3484439901 141317094
3787434675 454492161 142631276
4090429449 2726952966 149663460
4847916384 1817968644 149504801
1060481709 3938932062 143696377
3484439901 1514973870 138799115
2575455579 2878450353 144409160
605989548 3787434675 148945591
1363476483 302994774 141470783
2878450353 0 147707770
3332942514 1211979096 147276186
757486935 3332942514 136644202
3635937288 151497387 149863903
2272460805 1969466031 150415722
1969466031 1060481709 150478360
3938932062 2423958192 138785871
1817968644 1666471257 145896898
1514973870 757486935 151327393
302994774 2120963418 142697967
4241926836 605989548 148784501
4393424223 3635937288 144250347
4544921610 4393424223 151212721

water-to-light map:
3428169432 3285329039 136836017
1714084716 714201965 132223842
3571009825 857042358 142573137
4713732969 4856573362 134286306
2571127074 2428286681 142056576
0 3713850218 135226683
2713967467 4142371397 132209273
4856573362 142840393 141319948
428521179 1571244323 140380733
1999765502 4570892576 136035627
142840393 4285211790 131271894
1428403930 999882751 140122932
2285446288 1714084716 130396267
1571244323 2285446288 137174072
2856807860 285680786 139851010
3999531004 2856807860 131965174
2142605895 428521179 135812681
571361572 3999531004 132818419
3713850218 2142605895 133430447
714201965 3571009825 133179524
4142371397 571361572 138047124
4285211790 4713732969 137834696
3142488646 2999648253 139328354
285680786 1428403930 136461145
999882751 0 130603753
2428286681 4428052183 140659162
4570892576 1142723144 131930484
4428052183 1285563537 132976050
1856925109 2571127074 129423079
3856690611 3142488646 135960994
857042358 1856925109 136737072
1285563537 3856690611 130206406
1142723144 2713967467 139374912
2999648253 3428169432 136631464
3285329039 1999765502 141673384

light-to-temperature map:
4558289011 735207905 144948143
4852372173 1029291067 137604170
3970122687 4117164268 135858977
882249486 294083162 136285082
2793790039 2646748458 140665775
2205623715 147041581 140474896
4705330592 3676039525 134901281
2499706877 441124743 137970184
4264205849 1323374229 145853316
2646748458 1911540553 146688788
0 1176332648 135565316
4117164268 3970122687 145517234
2058582134 3087873201 135336626
147041581 3234914782 143718766
735207905 1764498972 144696527
2940831620 3823081106 142762705
3528997944 0 145650450
1617457391 2205623715 144855740
441124743 2940831620 142334613
4411247430 4852372173 141189922
294083162 1470415810 143870195
1470415810 4558289011 140145306
2352665296 882249486 146853125
3234914782 2499706877 140433995
588166324 4264205849 146737128
1029291067 2058582134 145087259
3823081106 2352665296 144403856
1911540553 3528997944 133391758
1176332648 4411247430 142725369
1764498972 2793790039 138774450
3676039525 588166324 138356601
3381956363 1617457391 137549612
3087873201 4705330592 134378985
1323374229 3381956363 138075912

temperature-to-humidity map:
4062023693 624926722 298327025
1874780166 1562316805 300276884
3749560332 4686950415 283058651
2499706888 312463361 294158587
2812170249 1249853444 298390685
2187243527 4062023693 284222879
4686950415 2812170249 291541961
312463361 2187243527 281555628
3124633610 2499706888 281269519
937390083 4374487054 299288378
1562316805 0 296430076
1249853444 3124633610 290898286
3437096971 1874780166 299307377
624926722 937390083 287929273
0 3437096971 306949730
4374487054 3749560332 290006554

humidity-to-location map:
1249853442 3124633605 205128205
833235628 416617814 194806738
624926721 4791104861 203799383
2916324698 4374487047 188454300
3332942512 2083089070 199378015
4374487047 1458162349 205003418
2499706884 1666471256 198844678
4166178140 1874780163 202682862
4582795954 208308907 188219353
4999413768 3541251419 197672449
208308907 2291397977 192507876
2083089070 4582795954 200639561
2708015791 1041544535 199525614
1458162349 624926721 207748193
3957869233 0 189397914
416617814 2916324698 196620305
2291397977 2708015791 206033821
1666471256 3957869233 205277327
1874780163 833235628 187647157
4791104861 3332942512 196729744
3541251419 1249853442 206329431
1041544535 3749560326 194641900
3124633605 4166178140 203093679
3749560326 2499706884 201650259
